id,text
settings_profile,Profiel
settings_name,Naam
settings_email,E-mailadres
settings_class,Klas
settings_profile,Profiel
settings_track_nt,NT (Natuur & Techniek)
settings_track_ng,NG (Natuur & Gezondheid)
settings_track_em,EM (Economie & Maatschappij)
settings_track_cm,CM (Cultuur & Maatschappij)
settings_preferences,Voorkeuren
settings_theme,Thema
settings_theme_system,Systeem
settings_theme_light,Licht
settings_theme_dark,Donker
settings_language,Taal
settings_lang_nl,Nederlands
settings_lang_en,Engels
settings_notifications,Meldingen
settings_notif_daily,Dagelijkse herinnering
settings_notif_grades,Cijfermeldingen
settings_notif_group,Groepsmeldingen
settings_save,Opslaan
grades_eyebrow,Cijfers
grades_title,Jouw cijfers
grades_description,Bekijk je cijfers en voortgang
grades_average,Gemiddelde
grades_period,Periode
grades_all,Alles
grades_tab_subjects,Vakken
grades_tab_all,Alle cijfers
grades_tab_periods,Periodes
grades_col_subject,Vak
grades_col_teacher,Docent
grades_col_tests,Toetsen
grades_col_progress,Voortgang
grades_col_target,Streef
grades_col_avg,Gem.
grades_empty_state,Nog geen cijfers beschikbaar
notes_eyebrow,Notities
notes_title,Werkruimte
notes_description,Maak notities en mappen zoals in Obsidian
notes_sidebar,Werkruimte
notes_new_folder,Nieuwe map
notes_new_page,Nieuwe pagina
notes_select_page>Selecteer een pagina om te bewerken
notes_editor_placeholder,Typ hier je notitie...
notes_delete_confirm,Weet je zeker dat je "{name}" wilt verwijderen?
